dilution,batch,time_minutes,grade_numeric,grade_label,smear_type,filepath,filename
3%,1,41,5,V,thick,data\processed\3%_batch1_41min_5_thick.jpg,3%_batch1_41min_5_thick.jpg
3%,1,41,4,IV,thin,data\processed\3%_batch1_41min_4_thin.jpg,3%_batch1_41min_4_thin.jpg
3%,2,27,4,IV,thick,data\processed\3%_batch2_27min_4_thick.jpg,3%_batch2_27min_4_thick.jpg
3%,2,27,4,IV,thin,data\processed\3%_batch2_27min_4_thin.jpg,3%_batch2_27min_4_thin.jpg
3%,2,28,2,II,thick,data\processed\3%_batch2_28min_2_thick.jpg,3%_batch2_28min_2_thick.jpg
3%,2,28,2,II,thin,data\processed\3%_batch2_28min_2_thin.jpg,3%_batch2_28min_2_thin.jpg
3%,2,29,2,II,thick,data\processed\3%_batch2_29min_2_thick.jpg,3%_batch2_29min_2_thick.jpg
3%,2,29,3,III,thin,data\processed\3%_batch2_29min_3_thin.jpg,3%_batch2_29min_3_thin.jpg
3%,2,30,2,II,thick,data\processed\3%_batch2_30min_2_thick.jpg,3%_batch2_30min_2_thick.jpg
3%,2,30,3,III,thin,data\processed\3%_batch2_30min_3_thin.jpg,3%_batch2_30min_3_thin.jpg
3%,2,31,3,III,thick,data\processed\3%_batch2_31min_3_thick.jpg,3%_batch2_31min_3_thick.jpg
3%,2,31,3,III,thin,data\processed\3%_batch2_31min_3_thin.jpg,3%_batch2_31min_3_thin.jpg
3%,2,32,3,III,thick,data\processed\3%_batch2_32min_3_thick.jpg,3%_batch2_32min_3_thick.jpg
3%,2,32,3,III,thin,data\processed\3%_batch2_32min_3_thin.jpg,3%_batch2_32min_3_thin.jpg
3%,2,33,4,IV,thick,data\processed\3%_batch2_33min_4_thick.jpg,3%_batch2_33min_4_thick.jpg
3%,2,33,4,IV,thin,data\processed\3%_batch2_33min_4_thin.jpg,3%_batch2_33min_4_thin.jpg
3%,2,34,4,IV,thick,data\processed\3%_batch2_34min_4_thick.jpg,3%_batch2_34min_4_thick.jpg
3%,2,34,4,IV,thin,data\processed\3%_batch2_34min_4_thin.jpg,3%_batch2_34min_4_thin.jpg
3%,2,35,4,IV,thick,data\processed\3%_batch2_35min_4_thick.jpg,3%_batch2_35min_4_thick.jpg
3%,2,35,4,IV,thin,data\processed\3%_batch2_35min_4_thin.jpg,3%_batch2_35min_4_thin.jpg
3%,2,36,4,IV,thick,data\processed\3%_batch2_36min_4_thick.jpg,3%_batch2_36min_4_thick.jpg
3%,2,36,4,IV,thin,data\processed\3%_batch2_36min_4_thin.jpg,3%_batch2_36min_4_thin.jpg
3%,2,37,4,IV,thick,data\processed\3%_batch2_37min_4_thick.jpg,3%_batch2_37min_4_thick.jpg
3%,2,37,4,IV,thin,data\processed\3%_batch2_37min_4_thin.jpg,3%_batch2_37min_4_thin.jpg
3%,2,38,4,IV,thick,data\processed\3%_batch2_38min_4_thick.jpg,3%_batch2_38min_4_thick.jpg
3%,2,38,4,IV,thin,data\processed\3%_batch2_38min_4_thin.jpg,3%_batch2_38min_4_thin.jpg
3%,2,39,5,V,thick,data\processed\3%_batch2_39min_5_thick.jpg,3%_batch2_39min_5_thick.jpg
3%,2,39,4,IV,thin,data\processed\3%_batch2_39min_4_thin.jpg,3%_batch2_39min_4_thin.jpg
3%,2,40,5,V,thick,data\processed\3%_batch2_40min_5_thick.jpg,3%_batch2_40min_5_thick.jpg
3%,2,40,4,IV,thin,data\processed\3%_batch2_40min_4_thin.jpg,3%_batch2_40min_4_thin.jpg
3%,2,41,5,V,thick,data\processed\3%_batch2_41min_5_thick.jpg,3%_batch2_41min_5_thick.jpg
3%,2,41,5,V,thin,data\processed\3%_batch2_41min_5_thin.jpg,3%_batch2_41min_5_thin.jpg
3%,3,27,2,II,thick,data\processed\3%_batch3_27min_2_thick.jpg,3%_batch3_27min_2_thick.jpg
3%,3,27,3,III,thin,data\processed\3%_batch3_27min_3_thin.jpg,3%_batch3_27min_3_thin.jpg
3%,3,28,3,III,thick,data\processed\3%_batch3_28min_3_thick.jpg,3%_batch3_28min_3_thick.jpg
3%,3,28,2,II,thin,data\processed\3%_batch3_28min_2_thin.jpg,3%_batch3_28min_2_thin.jpg
3%,3,29,2,II,thick,data\processed\3%_batch3_29min_2_thick.jpg,3%_batch3_29min_2_thick.jpg
3%,3,29,3,III,thin,data\processed\3%_batch3_29min_3_thin.jpg,3%_batch3_29min_3_thin.jpg
3%,3,30,2,II,thick,data\processed\3%_batch3_30min_2_thick.jpg,3%_batch3_30min_2_thick.jpg
3%,3,30,3,III,thin,data\processed\3%_batch3_30min_3_thin.jpg,3%_batch3_30min_3_thin.jpg
3%,3,31,3,III,thick,data\processed\3%_batch3_31min_3_thick.jpg,3%_batch3_31min_3_thick.jpg
3%,3,31,3,III,thin,data\processed\3%_batch3_31min_3_thin.jpg,3%_batch3_31min_3_thin.jpg
3%,3,32,3,III,thick,data\processed\3%_batch3_32min_3_thick.jpg,3%_batch3_32min_3_thick.jpg
3%,3,32,3,III,thin,data\processed\3%_batch3_32min_3_thin.jpg,3%_batch3_32min_3_thin.jpg
3%,3,33,3,III,thin,data\processed\3%_batch3_33min_3_thin.jpg,3%_batch3_33min_3_thin.jpg
3%,3,34,4,IV,thick,data\processed\3%_batch3_34min_4_thick.jpg,3%_batch3_34min_4_thick.jpg
3%,3,34,3,III,thin,data\processed\3%_batch3_34min_3_thin.jpg,3%_batch3_34min_3_thin.jpg
3%,3,35,4,IV,thick,data\processed\3%_batch3_35min_4_thick.jpg,3%_batch3_35min_4_thick.jpg
3%,3,35,4,IV,thin,data\processed\3%_batch3_35min_4_thin.jpg,3%_batch3_35min_4_thin.jpg
3%,3,36,4,IV,thick,data\processed\3%_batch3_36min_4_thick.jpg,3%_batch3_36min_4_thick.jpg
3%,3,36,4,IV,thin,data\processed\3%_batch3_36min_4_thin.jpg,3%_batch3_36min_4_thin.jpg
3%,3,37,4,IV,thick,data\processed\3%_batch3_37min_4_thick.jpg,3%_batch3_37min_4_thick.jpg
3%,3,37,4,IV,thin,data\processed\3%_batch3_37min_4_thin.jpg,3%_batch3_37min_4_thin.jpg
3%,3,38,4,IV,thick,data\processed\3%_batch3_38min_4_thick.jpg,3%_batch3_38min_4_thick.jpg
3%,3,38,4,IV,thin,data\processed\3%_batch3_38min_4_thin.jpg,3%_batch3_38min_4_thin.jpg
3%,3,39,5,V,thick,data\processed\3%_batch3_39min_5_thick.jpg,3%_batch3_39min_5_thick.jpg
3%,3,39,4,IV,thin,data\processed\3%_batch3_39min_4_thin.jpg,3%_batch3_39min_4_thin.jpg
3%,3,40,5,V,thick,data\processed\3%_batch3_40min_5_thick.jpg,3%_batch3_40min_5_thick.jpg
3%,3,40,5,V,thin,data\processed\3%_batch3_40min_5_thin.jpg,3%_batch3_40min_5_thin.jpg
3%,3,41,5,V,thick,data\processed\3%_batch3_41min_5_thick.jpg,3%_batch3_41min_5_thick.jpg
3%,3,41,5,V,thin,data\processed\3%_batch3_41min_5_thin.jpg,3%_batch3_41min_5_thin.jpg
3%,4,24,3,III,thin,data\processed\3%_batch4_24min_3_thin.jpg,3%_batch4_24min_3_thin.jpg
3%,4,27,2,II,thick,data\processed\3%_batch4_27min_2_thick.jpg,3%_batch4_27min_2_thick.jpg
3%,4,27,3,III,thin,data\processed\3%_batch4_27min_3_thin.jpg,3%_batch4_27min_3_thin.jpg
3%,4,28,2,II,thick,data\processed\3%_batch4_28min_2_thick.jpg,3%_batch4_28min_2_thick.jpg
3%,4,28,2,II,thin,data\processed\3%_batch4_28min_2_thin.jpg,3%_batch4_28min_2_thin.jpg
3%,4,29,2,II,thick,data\processed\3%_batch4_29min_2_thick.jpg,3%_batch4_29min_2_thick.jpg
3%,4,30,2,II,thick,data\processed\3%_batch4_30min_2_thick.jpg,3%_batch4_30min_2_thick.jpg
3%,4,30,2,II,thin,data\processed\3%_batch4_30min_2_thin.jpg,3%_batch4_30min_2_thin.jpg
3%,4,31,2,II,thick,data\processed\3%_batch4_31min_2_thick.jpg,3%_batch4_31min_2_thick.jpg
3%,4,31,2,II,thin,data\processed\3%_batch4_31min_2_thin.jpg,3%_batch4_31min_2_thin.jpg
3%,4,32,3,III,thick,data\processed\3%_batch4_32min_3_thick.jpg,3%_batch4_32min_3_thick.jpg
3%,4,32,2,II,thin,data\processed\3%_batch4_32min_2_thin.jpg,3%_batch4_32min_2_thin.jpg
3%,4,32,3,III,thin,data\processed\3%_batch4_32min_3_thin.jpg,3%_batch4_32min_3_thin.jpg
3%,4,35,3,III,thick,data\processed\3%_batch4_35min_3_thick.jpg,3%_batch4_35min_3_thick.jpg
3%,4,35,3,III,thin,data\processed\3%_batch4_35min_3_thin.jpg,3%_batch4_35min_3_thin.jpg
3%,4,36,3,III,thick,data\processed\3%_batch4_36min_3_thick.jpg,3%_batch4_36min_3_thick.jpg
3%,4,36,3,III,thin,data\processed\3%_batch4_36min_3_thin.jpg,3%_batch4_36min_3_thin.jpg
3%,4,37,4,IV,thick,data\processed\3%_batch4_37min_4_thick.jpg,3%_batch4_37min_4_thick.jpg
3%,4,37,4,IV,thin,data\processed\3%_batch4_37min_4_thin.jpg,3%_batch4_37min_4_thin.jpg
3%,4,38,4,IV,thick,data\processed\3%_batch4_38min_4_thick.jpg,3%_batch4_38min_4_thick.jpg
3%,4,38,4,IV,thin,data\processed\3%_batch4_38min_4_thin.jpg,3%_batch4_38min_4_thin.jpg
3%,4,39,4,IV,thick,data\processed\3%_batch4_39min_4_thick.jpg,3%_batch4_39min_4_thick.jpg
3%,4,39,4,IV,thin,data\processed\3%_batch4_39min_4_thin.jpg,3%_batch4_39min_4_thin.jpg
3%,4,40,4,IV,thick,data\processed\3%_batch4_40min_4_thick.jpg,3%_batch4_40min_4_thick.jpg
3%,4,40,4,IV,thin,data\processed\3%_batch4_40min_4_thin.jpg,3%_batch4_40min_4_thin.jpg
3%,4,41,5,V,thick,data\processed\3%_batch4_41min_5_thick.jpg,3%_batch4_41min_5_thick.jpg
3%,4,41,5,V,thin,data\processed\3%_batch4_41min_5_thin.jpg,3%_batch4_41min_5_thin.jpg
3%,5,27,2,II,thick,data\processed\3%_batch5_27min_2_thick.jpg,3%_batch5_27min_2_thick.jpg
3%,5,27,2,II,thin,data\processed\3%_batch5_27min_2_thin.jpg,3%_batch5_27min_2_thin.jpg
3%,5,28,2,II,thick,data\processed\3%_batch5_28min_2_thick.jpg,3%_batch5_28min_2_thick.jpg
3%,5,28,2,II,thin,data\processed\3%_batch5_28min_2_thin.jpg,3%_batch5_28min_2_thin.jpg
3%,5,29,3,III,thick,data\processed\3%_batch5_29min_3_thick.jpg,3%_batch5_29min_3_thick.jpg
3%,5,29,3,III,thin,data\processed\3%_batch5_29min_3_thin.jpg,3%_batch5_29min_3_thin.jpg
3%,5,30,3,III,thick,data\processed\3%_batch5_30min_3_thick.jpg,3%_batch5_30min_3_thick.jpg
3%,5,30,3,III,thin,data\processed\3%_batch5_30min_3_thin.jpg,3%_batch5_30min_3_thin.jpg
3%,5,31,3,III,thick,data\processed\3%_batch5_31min_3_thick.jpg,3%_batch5_31min_3_thick.jpg
3%,5,32,3,III,thick,data\processed\3%_batch5_32min_3_thick.jpg,3%_batch5_32min_3_thick.jpg
3%,5,32,3,III,thin,data\processed\3%_batch5_32min_3_thin.jpg,3%_batch5_32min_3_thin.jpg
3%,5,33,4,IV,thick,data\processed\3%_batch5_33min_4_thick.jpg,3%_batch5_33min_4_thick.jpg
3%,5,33,4,IV,thin,data\processed\3%_batch5_33min_4_thin.jpg,3%_batch5_33min_4_thin.jpg
3%,5,34,4,IV,thick,data\processed\3%_batch5_34min_4_thick.jpg,3%_batch5_34min_4_thick.jpg
3%,5,34,4,IV,thin,data\processed\3%_batch5_34min_4_thin.jpg,3%_batch5_34min_4_thin.jpg
3%,5,35,4,IV,thick,data\processed\3%_batch5_35min_4_thick.jpg,3%_batch5_35min_4_thick.jpg
3%,5,35,4,IV,thin,data\processed\3%_batch5_35min_4_thin.jpg,3%_batch5_35min_4_thin.jpg
3%,5,36,4,IV,thick,data\processed\3%_batch5_36min_4_thick.jpg,3%_batch5_36min_4_thick.jpg
3%,5,36,4,IV,thin,data\processed\3%_batch5_36min_4_thin.jpg,3%_batch5_36min_4_thin.jpg
3%,5,37,4,IV,thick,data\processed\3%_batch5_37min_4_thick.jpg,3%_batch5_37min_4_thick.jpg
3%,5,37,4,IV,thin,data\processed\3%_batch5_37min_4_thin.jpg,3%_batch5_37min_4_thin.jpg
3%,5,38,4,IV,thick,data\processed\3%_batch5_38min_4_thick.jpg,3%_batch5_38min_4_thick.jpg
3%,5,38,4,IV,thin,data\processed\3%_batch5_38min_4_thin.jpg,3%_batch5_38min_4_thin.jpg
3%,5,39,4,IV,thick,data\processed\3%_batch5_39min_4_thick.jpg,3%_batch5_39min_4_thick.jpg
3%,5,39,5,V,thin,data\processed\3%_batch5_39min_5_thin.jpg,3%_batch5_39min_5_thin.jpg
3%,5,40,5,V,thin,data\processed\3%_batch5_40min_5_thin.jpg,3%_batch5_40min_5_thin.jpg
3%,5,41,5,V,thick,data\processed\3%_batch5_41min_5_thick.jpg,3%_batch5_41min_5_thick.jpg
3%,5,41,5,V,thin,data\processed\3%_batch5_41min_5_thin.jpg,3%_batch5_41min_5_thin.jpg
3%,6,27,2,II,thick,data\processed\3%_batch6_27min_2_thick.jpg,3%_batch6_27min_2_thick.jpg
3%,6,27,2,II,thin,data\processed\3%_batch6_27min_2_thin.jpg,3%_batch6_27min_2_thin.jpg
3%,6,28,2,II,thick,data\processed\3%_batch6_28min_2_thick.jpg,3%_batch6_28min_2_thick.jpg
3%,6,28,2,II,thin,data\processed\3%_batch6_28min_2_thin.jpg,3%_batch6_28min_2_thin.jpg
3%,6,29,2,II,thick,data\processed\3%_batch6_29min_2_thick.jpg,3%_batch6_29min_2_thick.jpg
3%,6,29,2,II,thin,data\processed\3%_batch6_29min_2_thin.jpg,3%_batch6_29min_2_thin.jpg
3%,6,30,3,III,thick,data\processed\3%_batch6_30min_3_thick.jpg,3%_batch6_30min_3_thick.jpg
3%,6,30,3,III,thin,data\processed\3%_batch6_30min_3_thin.jpg,3%_batch6_30min_3_thin.jpg
3%,6,31,3,III,thick,data\processed\3%_batch6_31min_3_thick.jpg,3%_batch6_31min_3_thick.jpg
3%,6,31,3,III,thin,data\processed\3%_batch6_31min_3_thin.jpg,3%_batch6_31min_3_thin.jpg
3%,6,32,3,III,thick,data\processed\3%_batch6_32min_3_thick.jpg,3%_batch6_32min_3_thick.jpg
3%,6,32,3,III,thin,data\processed\3%_batch6_32min_3_thin.jpg,3%_batch6_32min_3_thin.jpg
3%,6,33,3,III,thick,data\processed\3%_batch6_33min_3_thick.jpg,3%_batch6_33min_3_thick.jpg
3%,6,33,3,III,thin,data\processed\3%_batch6_33min_3_thin.jpg,3%_batch6_33min_3_thin.jpg
3%,6,34,3,III,thick,data\processed\3%_batch6_34min_3_thick.jpg,3%_batch6_34min_3_thick.jpg
3%,6,34,3,III,thin,data\processed\3%_batch6_34min_3_thin.jpg,3%_batch6_34min_3_thin.jpg
3%,6,35,2,II,thick,data\processed\3%_batch6_35min_2_thick.jpg,3%_batch6_35min_2_thick.jpg
3%,6,35,2,II,thin,data\processed\3%_batch6_35min_2_thin.jpg,3%_batch6_35min_2_thin.jpg
3%,6,36,2,II,thick,data\processed\3%_batch6_36min_2_thick.jpg,3%_batch6_36min_2_thick.jpg
3%,7,27,2,II,thick,data\processed\3%_batch7_27min_2_thick.jpg,3%_batch7_27min_2_thick.jpg
3%,7,27,2,II,thin,data\processed\3%_batch7_27min_2_thin.jpg,3%_batch7_27min_2_thin.jpg
3%,7,28,2,II,thick,data\processed\3%_batch7_28min_2_thick.jpg,3%_batch7_28min_2_thick.jpg
3%,7,28,2,II,thin,data\processed\3%_batch7_28min_2_thin.jpg,3%_batch7_28min_2_thin.jpg
3%,7,29,2,II,thick,data\processed\3%_batch7_29min_2_thick.jpg,3%_batch7_29min_2_thick.jpg
3%,7,29,2,II,thin,data\processed\3%_batch7_29min_2_thin.jpg,3%_batch7_29min_2_thin.jpg
3%,7,30,3,III,thick,data\processed\3%_batch7_30min_3_thick.jpg,3%_batch7_30min_3_thick.jpg
3%,7,30,3,III,thin,data\processed\3%_batch7_30min_3_thin.jpg,3%_batch7_30min_3_thin.jpg
3%,7,31,3,III,thin,data\processed\3%_batch7_31min_3_thin.jpg,3%_batch7_31min_3_thin.jpg
3%,7,32,3,III,thick,data\processed\3%_batch7_32min_3_thick.jpg,3%_batch7_32min_3_thick.jpg
3%,7,32,3,III,thin,data\processed\3%_batch7_32min_3_thin.jpg,3%_batch7_32min_3_thin.jpg
3%,7,33,4,IV,thick,data\processed\3%_batch7_33min_4_thick.jpg,3%_batch7_33min_4_thick.jpg
3%,7,33,4,IV,thin,data\processed\3%_batch7_33min_4_thin.jpg,3%_batch7_33min_4_thin.jpg
3%,7,34,4,IV,thick,data\processed\3%_batch7_34min_4_thick.jpg,3%_batch7_34min_4_thick.jpg
3%,7,35,4,IV,thick,data\processed\3%_batch7_35min_4_thick.jpg,3%_batch7_35min_4_thick.jpg
3%,7,35,4,IV,thin,data\processed\3%_batch7_35min_4_thin.jpg,3%_batch7_35min_4_thin.jpg
3%,7,36,4,IV,thick,data\processed\3%_batch7_36min_4_thick.jpg,3%_batch7_36min_4_thick.jpg
3%,7,36,4,IV,thin,data\processed\3%_batch7_36min_4_thin.jpg,3%_batch7_36min_4_thin.jpg
3%,7,37,5,V,thick,data\processed\3%_batch7_37min_5_thick.jpg,3%_batch7_37min_5_thick.jpg
3%,7,37,4,IV,thin,data\processed\3%_batch7_37min_4_thin.jpg,3%_batch7_37min_4_thin.jpg
3%,7,38,4,IV,thick,data\processed\3%_batch7_38min_4_thick.jpg,3%_batch7_38min_4_thick.jpg
3%,7,38,4,IV,thin,data\processed\3%_batch7_38min_4_thin.jpg,3%_batch7_38min_4_thin.jpg
3%,7,39,4,IV,thin,data\processed\3%_batch7_39min_4_thin.jpg,3%_batch7_39min_4_thin.jpg
3%,7,40,5,V,thick,data\processed\3%_batch7_40min_5_thick.jpg,3%_batch7_40min_5_thick.jpg
3%,7,40,5,V,thin,data\processed\3%_batch7_40min_5_thin.jpg,3%_batch7_40min_5_thin.jpg
3%,7,41,5,V,thick,data\processed\3%_batch7_41min_5_thick.jpg,3%_batch7_41min_5_thick.jpg
3%,7,41,5,V,thin,data\processed\3%_batch7_41min_5_thin.jpg,3%_batch7_41min_5_thin.jpg
3%,8,26,2,II,thick,data\processed\3%_batch8_26min_2_thick.jpg,3%_batch8_26min_2_thick.jpg
3%,8,26,2,II,thin,data\processed\3%_batch8_26min_2_thin.jpg,3%_batch8_26min_2_thin.jpg
3%,8,27,2,II,thick,data\processed\3%_batch8_27min_2_thick.jpg,3%_batch8_27min_2_thick.jpg
3%,8,27,2,II,thin,data\processed\3%_batch8_27min_2_thin.jpg,3%_batch8_27min_2_thin.jpg
3%,8,28,2,II,thick,data\processed\3%_batch8_28min_2_thick.jpg,3%_batch8_28min_2_thick.jpg
3%,8,28,2,II,thin,data\processed\3%_batch8_28min_2_thin.jpg,3%_batch8_28min_2_thin.jpg
3%,8,29,2,II,thick,data\processed\3%_batch8_29min_2_thick.jpg,3%_batch8_29min_2_thick.jpg
3%,8,29,2,II,thin,data\processed\3%_batch8_29min_2_thin.jpg,3%_batch8_29min_2_thin.jpg
3%,8,30,3,III,thick,data\processed\3%_batch8_30min_3_thick.jpg,3%_batch8_30min_3_thick.jpg
3%,8,30,3,III,thin,data\processed\3%_batch8_30min_3_thin.jpg,3%_batch8_30min_3_thin.jpg
3%,8,31,3,III,thick,data\processed\3%_batch8_31min_3_thick.jpg,3%_batch8_31min_3_thick.jpg
3%,8,31,4,IV,thin,data\processed\3%_batch8_31min_4_thin.jpg,3%_batch8_31min_4_thin.jpg
3%,8,32,4,IV,thick,data\processed\3%_batch8_32min_4_thick.jpg,3%_batch8_32min_4_thick.jpg
3%,8,32,4,IV,thin,data\processed\3%_batch8_32min_4_thin.jpg,3%_batch8_32min_4_thin.jpg
3%,8,33,4,IV,thick,data\processed\3%_batch8_33min_4_thick.jpg,3%_batch8_33min_4_thick.jpg
3%,8,33,4,IV,thin,data\processed\3%_batch8_33min_4_thin.jpg,3%_batch8_33min_4_thin.jpg
3%,8,34,4,IV,thick,data\processed\3%_batch8_34min_4_thick.jpg,3%_batch8_34min_4_thick.jpg
3%,8,34,4,IV,thin,data\processed\3%_batch8_34min_4_thin.jpg,3%_batch8_34min_4_thin.jpg
3%,8,35,4,IV,thick,data\processed\3%_batch8_35min_4_thick.jpg,3%_batch8_35min_4_thick.jpg
3%,8,35,4,IV,thin,data\processed\3%_batch8_35min_4_thin.jpg,3%_batch8_35min_4_thin.jpg
3%,8,36,4,IV,thick,data\processed\3%_batch8_36min_4_thick.jpg,3%_batch8_36min_4_thick.jpg
3%,8,36,4,IV,thin,data\processed\3%_batch8_36min_4_thin.jpg,3%_batch8_36min_4_thin.jpg
3%,8,37,4,IV,thick,data\processed\3%_batch8_37min_4_thick.jpg,3%_batch8_37min_4_thick.jpg
3%,8,37,4,IV,thin,data\processed\3%_batch8_37min_4_thin.jpg,3%_batch8_37min_4_thin.jpg
3%,8,38,5,V,thick,data\processed\3%_batch8_38min_5_thick.jpg,3%_batch8_38min_5_thick.jpg
3%,8,38,4,IV,thin,data\processed\3%_batch8_38min_4_thin.jpg,3%_batch8_38min_4_thin.jpg
3%,8,39,5,V,thick,data\processed\3%_batch8_39min_5_thick.jpg,3%_batch8_39min_5_thick.jpg
3%,8,39,5,V,thin,data\processed\3%_batch8_39min_5_thin.jpg,3%_batch8_39min_5_thin.jpg
3%,8,40,5,V,thick,data\processed\3%_batch8_40min_5_thick.jpg,3%_batch8_40min_5_thick.jpg
3%,8,40,5,V,thin,data\processed\3%_batch8_40min_5_thin.jpg,3%_batch8_40min_5_thin.jpg
3%,8,41,5,V,thick,data\processed\3%_batch8_41min_5_thick.jpg,3%_batch8_41min_5_thick.jpg
3%,8,41,5,V,thin,data\processed\3%_batch8_41min_5_thin.jpg,3%_batch8_41min_5_thin.jpg
3%,9,26,2,II,thick,data\processed\3%_batch9_26min_2_thick.jpg,3%_batch9_26min_2_thick.jpg
3%,9,26,2,II,thin,data\processed\3%_batch9_26min_2_thin.jpg,3%_batch9_26min_2_thin.jpg
3%,9,27,2,II,thick,data\processed\3%_batch9_27min_2_thick.jpg,3%_batch9_27min_2_thick.jpg
3%,9,27,2,II,thin,data\processed\3%_batch9_27min_2_thin.jpg,3%_batch9_27min_2_thin.jpg
3%,9,28,2,II,thick,data\processed\3%_batch9_28min_2_thick.jpg,3%_batch9_28min_2_thick.jpg
3%,9,28,2,II,thin,data\processed\3%_batch9_28min_2_thin.jpg,3%_batch9_28min_2_thin.jpg
3%,9,29,4,IV,thick,data\processed\3%_batch9_29min_4_thick.jpg,3%_batch9_29min_4_thick.jpg
3%,9,29,4,IV,thin,data\processed\3%_batch9_29min_4_thin.jpg,3%_batch9_29min_4_thin.jpg
3%,9,30,3,III,thin,data\processed\3%_batch9_30min_3_thin.jpg,3%_batch9_30min_3_thin.jpg
3%,9,31,3,III,thick,data\processed\3%_batch9_31min_3_thick.jpg,3%_batch9_31min_3_thick.jpg
3%,9,31,3,III,thin,data\processed\3%_batch9_31min_3_thin.jpg,3%_batch9_31min_3_thin.jpg
3%,9,32,4,IV,thick,data\processed\3%_batch9_32min_4_thick.jpg,3%_batch9_32min_4_thick.jpg
3%,9,32,4,IV,thin,data\processed\3%_batch9_32min_4_thin.jpg,3%_batch9_32min_4_thin.jpg
3%,9,33,4,IV,thick,data\processed\3%_batch9_33min_4_thick.jpg,3%_batch9_33min_4_thick.jpg
3%,9,33,4,IV,thin,data\processed\3%_batch9_33min_4_thin.jpg,3%_batch9_33min_4_thin.jpg
3%,9,34,4,IV,thick,data\processed\3%_batch9_34min_4_thick.jpg,3%_batch9_34min_4_thick.jpg
3%,9,34,4,IV,thin,data\processed\3%_batch9_34min_4_thin.jpg,3%_batch9_34min_4_thin.jpg
3%,9,35,4,IV,thick,data\processed\3%_batch9_35min_4_thick.jpg,3%_batch9_35min_4_thick.jpg
3%,9,35,4,IV,thin,data\processed\3%_batch9_35min_4_thin.jpg,3%_batch9_35min_4_thin.jpg
3%,9,36,4,IV,thick,data\processed\3%_batch9_36min_4_thick.jpg,3%_batch9_36min_4_thick.jpg
3%,9,36,4,IV,thin,data\processed\3%_batch9_36min_4_thin.jpg,3%_batch9_36min_4_thin.jpg
3%,9,37,4,IV,thick,data\processed\3%_batch9_37min_4_thick.jpg,3%_batch9_37min_4_thick.jpg
3%,9,37,4,IV,thin,data\processed\3%_batch9_37min_4_thin.jpg,3%_batch9_37min_4_thin.jpg
3%,9,38,5,V,thick,data\processed\3%_batch9_38min_5_thick.jpg,3%_batch9_38min_5_thick.jpg
3%,9,38,5,V,thin,data\processed\3%_batch9_38min_5_thin.jpg,3%_batch9_38min_5_thin.jpg
3%,9,39,5,V,thick,data\processed\3%_batch9_39min_5_thick.jpg,3%_batch9_39min_5_thick.jpg
3%,9,39,5,V,thin,data\processed\3%_batch9_39min_5_thin.jpg,3%_batch9_39min_5_thin.jpg
3%,9,40,5,V,thick,data\processed\3%_batch9_40min_5_thick.jpg,3%_batch9_40min_5_thick.jpg
3%,9,40,5,V,thin,data\processed\3%_batch9_40min_5_thin.jpg,3%_batch9_40min_5_thin.jpg
3%,9,41,5,V,thick,data\processed\3%_batch9_41min_5_thick.jpg,3%_batch9_41min_5_thick.jpg
3%,9,41,5,V,thin,data\processed\3%_batch9_41min_5_thin.jpg,3%_batch9_41min_5_thin.jpg
